#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030208.JPG,http://data.flightstream.io/sg/0002/tn/P3030208.JPG,1.400165,103.897305,47.52,19.47,2.39,4.99,1,84%,
http://data.flightstream.io/sg/0002/P3030209.JPG,http://data.flightstream.io/sg/0002/tn/P3030209.JPG,1.400166,103.897314,47.56,19.51,2,4.58,2,84%,
http://data.flightstream.io/sg/0002/P3030210.JPG,http://data.flightstream.io/sg/0002/tn/P3030210.JPG,1.400166,103.897327,47.38,19.35,3,4.34,2,84%,
http://data.flightstream.io/sg/0002/P3030211.JPG,http://data.flightstream.io/sg/0002/tn/P3030211.JPG,1.400166,103.89734,47.41,19.6,3.55,5.22,2,84%,
http://data.flightstream.io/sg/0002/P3030212.JPG,http://data.flightstream.io/sg/0002/tn/P3030212.JPG,1.400161,103.897353,47.43,19.54,1.7,2.9,2,84%,
http://data.flightstream.io/sg/0002/P3030213.JPG,http://data.flightstream.io/sg/0002/tn/P3030213.JPG,1.400155,103.897368,47.38,19.65,2.83,3.73,2,84%,
http://data.flightstream.io/sg/0002/P3030214.JPG,http://data.flightstream.io/sg/0002/tn/P3030214.JPG,1.400148,103.897381,47.12,19.55,2.77,2.37,2,83%,
http://data.flightstream.io/sg/0002/P3030215.JPG,http://data.flightstream.io/sg/0002/tn/P3030215.JPG,1.400139,103.897392,46.99,19.29,3.48,0.98,2,83%,
http://data.flightstream.io/sg/0002/P3030216.JPG,http://data.flightstream.io/sg/0002/tn/P3030216.JPG,1.400127,103.897415,48.91,20.79,2.23,1.73,2,83%,
http://data.flightstream.io/sg/0002/P3030217.JPG,http://data.flightstream.io/sg/0002/tn/P3030217.JPG,1.400117,103.897434,50.89,22.98,0.3,1.8,1,83%,
http://data.flightstream.io/sg/0002/P3030218.JPG,http://data.flightstream.io/sg/0002/tn/P3030218.JPG,1.400123,103.897432,50.91,23.15,0.44,1.92,2,83%,
http://data.flightstream.io/sg/0002/P3030219.JPG,http://data.flightstream.io/sg/0002/tn/P3030219.JPG,1.400123,103.897431,51.67,23.81,-0.25,1.06,2,83%,
http://data.flightstream.io/sg/0002/P3030220.JPG,http://data.flightstream.io/sg/0002/tn/P3030220.JPG,1.400123,103.897431,52.84,25.38,-0.42,-0.73,2,83%,
http://data.flightstream.io/sg/0002/P3030221.JPG,http://data.flightstream.io/sg/0002/tn/P3030221.JPG,1.400131,103.89743,54.43,26.96,-0.31,0.41,2,82%,
http://data.flightstream.io/sg/0002/P3030222.JPG,http://data.flightstream.io/sg/0002/tn/P3030222.JPG,1.400144,103.897428,55.7,28.39,-0.15,2.65,2,82%,
