#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/sg/0003/P8290038.jpg,http://data.flightstream.io/sg/0003/tn/P8290038.jpg,5.420672,100.263926,788.77,-2.94,-2.91,-91.47,10,90%
http://data.flightstream.io/sg/0003/P8290039.jpg,http://data.flightstream.io/sg/0003/tn/P8290039.jpg,5.420658,100.263924,788.84,-2.74,-3.3,-90.87,10,89%
http://data.flightstream.io/sg/0003/P8290040.jpg,http://data.flightstream.io/sg/0003/tn/P8290040.jpg,5.420645,100.263921,788.86,-2.96,-3.34,-90.36,9,89%
http://data.flightstream.io/sg/0003/P8290041.jpg,http://data.flightstream.io/sg/0003/tn/P8290041.jpg,5.420636,100.263878,788.41,-6.18,-6.16,-110.87,10,89%
http://data.flightstream.io/sg/0003/P8290042.jpg,http://data.flightstream.io/sg/0003/tn/P8290042.jpg,5.420631,100.263855,787.95,-4.55,-6.79,-109.86,10,88%
http://data.flightstream.io/sg/0003/P8290043.jpg,http://data.flightstream.io/sg/0003/tn/P8290043.jpg,5.420609,100.263804,786.69,-1.36,-5.87,-108.64,10,88%
http://data.flightstream.io/sg/0003/P8290044.jpg,http://data.flightstream.io/sg/0003/tn/P8290044.jpg,5.4206,100.263786,786.22,-0.85,-5.8,-109.09,10,88%
http://data.flightstream.io/sg/0003/P8290045.jpg,http://data.flightstream.io/sg/0003/tn/P8290045.jpg,5.420592,100.26376,786.02,-2.46,-6.53,-109.34,10,87%
http://data.flightstream.io/sg/0003/P8290046.jpg,http://data.flightstream.io/sg/0003/tn/P8290046.jpg,5.420587,100.263737,785.67,-3.25,-6.8,-109.44,9,87%
http://data.flightstream.io/sg/0003/P8290047.jpg,http://data.flightstream.io/sg/0003/tn/P8290047.jpg,5.420582,100.263712,785.65,-3.75,-6.57,-110,10,87%
http://data.flightstream.io/sg/0003/P8290048.jpg,http://data.flightstream.io/sg/0003/tn/P8290048.jpg,5.420573,100.263686,785.36,-3,-5.54,-109.68,10,87%
http://data.flightstream.io/sg/0003/P8290049.jpg,http://data.flightstream.io/sg/0003/tn/P8290049.jpg,5.420562,100.26366,784.99,-2.01,-4.99,-109.22,10,86%
http://data.flightstream.io/sg/0003/P8290050.jpg,http://data.flightstream.io/sg/0003/tn/P8290050.jpg,5.420554,100.263644,784.75,-1.45,-5.78,-109.17,10,86%
http://data.flightstream.io/sg/0003/P8290051.jpg,http://data.flightstream.io/sg/0003/tn/P8290051.jpg,5.420546,100.263625,784.38,-1.23,-6.71,-109.2,10,86%
http://data.flightstream.io/sg/0003/P8290052.jpg,http://data.flightstream.io/sg/0003/tn/P8290052.jpg,5.420537,100.263606,784,-1.61,-7.32,-109.27,9,85%
http://data.flightstream.io/sg/0003/P8290053.jpg,http://data.flightstream.io/sg/0003/tn/P8290053.jpg,5.42053,100.263586,783.53,-1.52,-7.52,-109.19,10,85%
http://data.flightstream.io/sg/0003/P8290054.jpg,http://data.flightstream.io/sg/0003/tn/P8290054.jpg,5.420521,100.263561,783,-1.56,-8,-109.32,10,85%
http://data.flightstream.io/sg/0003/P8290055.jpg,http://data.flightstream.io/sg/0003/tn/P8290055.jpg,5.420513,100.263539,782.78,-1.59,-7.82,-109.46,10,84%
http://data.flightstream.io/sg/0003/P8290056.jpg,http://data.flightstream.io/sg/0003/tn/P8290056.jpg,5.420507,100.26352,782.66,-2.05,-7.96,-109.44,9,84%
http://data.flightstream.io/sg/0003/P8290057.jpg,http://data.flightstream.io/sg/0003/tn/P8290057.jpg,5.420498,100.263489,782.32,-2.65,-7.41,-109.73,10,84%
http://data.flightstream.io/sg/0003/P8290058.jpg,http://data.flightstream.io/sg/0003/tn/P8290058.jpg,5.420487,100.263458,782.01,-2.15,-6.45,-109.77,10,84%
http://data.flightstream.io/sg/0003/P8290059.jpg,http://data.flightstream.io/sg/0003/tn/P8290059.jpg,5.420476,100.263427,781.77,-1.83,-6.1,-109.67,10,83%
http://data.flightstream.io/sg/0003/P8290060.jpg,http://data.flightstream.io/sg/0003/tn/P8290060.jpg,5.420467,100.263403,781.66,-1.38,-7.32,-109.61,10,83%
http://data.flightstream.io/sg/0003/P8290061.jpg,http://data.flightstream.io/sg/0003/tn/P8290061.jpg,5.42046,100.263384,781.6,-1.61,-7.75,-109.62,10,83%
http://data.flightstream.io/sg/0003/P8290062.jpg,http://data.flightstream.io/sg/0003/tn/P8290062.jpg,5.420451,100.263354,781.67,-1.93,-7.4,-109.34,9,82%
http://data.flightstream.io/sg/0003/P8290063.jpg,http://data.flightstream.io/sg/0003/tn/P8290063.jpg,5.420443,100.263327,781.75,-2.12,-6.91,-109.17,10,82%
http://data.flightstream.io/sg/0003/P8290064.jpg,http://data.flightstream.io/sg/0003/tn/P8290064.jpg,5.420434,100.2633,781.83,-2.31,-6.73,-109.41,10,82%
http://data.flightstream.io/sg/0003/P8290065.jpg,http://data.flightstream.io/sg/0003/tn/P8290065.jpg,5.420427,100.263272,781.73,-2.69,-6.21,-109.49,10,81%
http://data.flightstream.io/sg/0003/P8290066.jpg,http://data.flightstream.io/sg/0003/tn/P8290066.jpg,5.420416,100.263241,781.7,-2.39,-6.91,-109.36,10,81%
http://data.flightstream.io/sg/0003/P8290067.jpg,http://data.flightstream.io/sg/0003/tn/P8290067.jpg,5.420407,100.263217,781.62,-1.68,-7.39,-109.65,10,81%
http://data.flightstream.io/sg/0003/P8290068.jpg,http://data.flightstream.io/sg/0003/tn/P8290068.jpg,5.420398,100.263194,781.48,-1.62,-7.87,-109.88,9,81%
http://data.flightstream.io/sg/0003/P8290069.jpg,http://data.flightstream.io/sg/0003/tn/P8290069.jpg,5.420388,100.263171,781.47,-1.33,-8.28,-110.36,10,80%
http://data.flightstream.io/sg/0003/P8290070.jpg,http://data.flightstream.io/sg/0003/tn/P8290070.jpg,5.420377,100.263141,781.39,-1.64,-7.96,-110.61,10,80%
http://data.flightstream.io/sg/0003/P8290071.jpg,http://data.flightstream.io/sg/0003/tn/P8290071.jpg,5.420368,100.263116,781.3,-1.61,-7.98,-110.58,10,80%
http://data.flightstream.io/sg/0003/P8290072.jpg,http://data.flightstream.io/sg/0003/tn/P8290072.jpg,5.420356,100.263087,781.3,-1.22,-7.93,-111,10,79%
http://data.flightstream.io/sg/0003/P8290073.jpg,http://data.flightstream.io/sg/0003/tn/P8290073.jpg,5.420347,100.263062,781.25,-0.89,-8.48,-111.21,10,79%
http://data.flightstream.io/sg/0003/P8290074.jpg,http://data.flightstream.io/sg/0003/tn/P8290074.jpg,5.420339,100.263038,781.23,-1.88,-9.17,-111.67,10,79%
http://data.flightstream.io/sg/0003/P8290075.jpg,http://data.flightstream.io/sg/0003/tn/P8290075.jpg,5.420334,100.263019,781.2,-2.81,-9.38,-112.03,9,78%
http://data.flightstream.io/sg/0003/P8290076.jpg,http://data.flightstream.io/sg/0003/tn/P8290076.jpg,5.420328,100.262995,781.25,-2.86,-9.58,-112.03,10,78%
http://data.flightstream.io/sg/0003/P8290077.jpg,http://data.flightstream.io/sg/0003/tn/P8290077.jpg,5.420321,100.262975,781.28,-2.23,-10.11,-111.38,10,78%
http://data.flightstream.io/sg/0003/P8290078.jpg,http://data.flightstream.io/sg/0003/tn/P8290078.jpg,5.420312,100.262951,781.25,-2.36,-9.7,-112.37,10,78%
http://data.flightstream.io/sg/0003/P8290079.jpg,http://data.flightstream.io/sg/0003/tn/P8290079.jpg,5.4203,100.262921,781.29,-1.68,-9.2,-112.6,10,77%
http://data.flightstream.io/sg/0003/P8290080.jpg,http://data.flightstream.io/sg/0003/tn/P8290080.jpg,5.42029,100.262895,781.46,-1.67,-8.64,-112.49,10,77%
http://data.flightstream.io/sg/0003/P8290081.jpg,http://data.flightstream.io/sg/0003/tn/P8290081.jpg,5.420279,100.262868,781.49,-1.79,-8.42,-112,9,77%
http://data.flightstream.io/sg/0003/P8290082.jpg,http://data.flightstream.io/sg/0003/tn/P8290082.jpg,5.420267,100.262838,781.28,-1.83,-8.68,-111.67,10,76%
http://data.flightstream.io/sg/0003/P8290083.jpg,http://data.flightstream.io/sg/0003/tn/P8290083.jpg,5.420258,100.262812,781.09,-1.95,-8.79,-111.34,10,76%
http://data.flightstream.io/sg/0003/P8290084.jpg,http://data.flightstream.io/sg/0003/tn/P8290084.jpg,5.420249,100.262786,780.95,-2.27,-8.62,-111.23,10,76%
http://data.flightstream.io/sg/0003/P8290085.jpg,http://data.flightstream.io/sg/0003/tn/P8290085.jpg,5.420241,100.26276,780.76,-2.94,-8.81,-111.46,10,75%
http://data.flightstream.io/sg/0003/P8290086.jpg,http://data.flightstream.io/sg/0003/tn/P8290086.jpg,5.420233,100.262735,780.59,-3.06,-9.15,-111.86,10,75%
