#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll
http://cdn.itchimi.asia/flightstream/IMG_7557_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7557_NIR.jpg,42.5411662,-94.3918787,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7558_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7558_NIR.jpg,42.540678,-94.3918842,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7559_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7559_NIR.jpg,42.5401999,-94.3918622,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7560_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7560_NIR.jpg,42.5397511,-94.3918857,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7561_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7561_NIR.jpg,42.5392951,-94.3918911,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7562_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7562_NIR.jpg,42.5388271,-94.3919043,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7563_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7563_NIR.jpg,42.5383523,-94.3919001,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7564_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7564_NIR.jpg,42.5387868,-94.3916046,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7565_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7565_NIR.jpg,42.5391416,-94.3915435,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7566_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7566_NIR.jpg,42.5395027,-94.3915747,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7567_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7567_NIR.jpg,42.5398408,-94.3915953,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7568_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7568_NIR.jpg,42.5401611,-94.3915782,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7569_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7569_NIR.jpg,42.5405033,-94.3916043,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7570_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7570_NIR.jpg,42.5408853,-94.3915723,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7571_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7571_NIR.jpg,42.5412656,-94.3915497,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7572_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7572_NIR.jpg,42.5416551,-94.3915686,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7573_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7573_NIR.jpg,42.5420538,-94.3915645,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7574_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7574_NIR.jpg,42.5424133,-94.3915669,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7575_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7575_NIR.jpg,42.5427764,-94.3915304,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7576_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7576_NIR.jpg,42.5420066,-94.3913053,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7577_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7577_NIR.jpg,42.5415239,-94.3912406,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7578_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7578_NIR.jpg,42.5410769,-94.3912908,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7579_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7579_NIR.jpg,42.5406144,-94.3912841,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7580_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7580_NIR.jpg,42.5401454,-94.3913256,136,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7581_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7581_NIR.jpg,42.539654,-94.3913085,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7582_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7582_NIR.jpg,42.5392051,-94.3912735,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7583_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7583_NIR.jpg,42.5387622,-94.3913176,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7584_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7584_NIR.jpg,42.5383153,-94.391322,135,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7585_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7585_NIR.jpg,42.538784,-94.3910216,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7586_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7586_NIR.jpg,42.5391451,-94.390979,134,0,0,0
http://cdn.itchimi.asia/flightstream/IMG_7587_NIR.jpg,http://cdn.itchimi.asia/flightstream/IMG_7587_NIR.jpg,42.5395169,-94.3910248,136,0,0,0
