#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery
http://data.flightstream.io/sg/0004/DSC01073.JPG,http://data.flightstream.io/sg/0004/tn/DSC01073.JPG,1.342615,103.732178,88.34,4.36,2.58,-137.36,10,90%
http://data.flightstream.io/sg/0004/DSC01074.JPG,http://data.flightstream.io/sg/0004/tn/DSC01074.JPG,1.342694,103.732072,88.6,-3.35,-0.12,-136.29,10,89%
http://data.flightstream.io/sg/0004/DSC01075.JPG,http://data.flightstream.io/sg/0004/tn/DSC01075.JPG,1.342718,103.732033,89.22,4.25,-2.71,-137.93,9,89%
http://data.flightstream.io/sg/0004/DSC01076.JPG,http://data.flightstream.io/sg/0004/tn/DSC01076.JPG,1.342596,103.731953,89.53,1.09,0.28,-137.26,10,89%
http://data.flightstream.io/sg/0004/DSC01077.JPG,http://data.flightstream.io/sg/0004/tn/DSC01077.JPG,1.342489,103.731873,89.69,1.48,-3.32,-137.35,10,88%
http://data.flightstream.io/sg/0004/DSC01078.JPG,http://data.flightstream.io/sg/0004/tn/DSC01078.JPG,1.342374,103.731782,89.62,1.35,-2.92,-138.3,10,88%
http://data.flightstream.io/sg/0004/DSC01079.JPG,http://data.flightstream.io/sg/0004/tn/DSC01079.JPG,1.342259,103.731688,89.6,0.33,-2.24,-137.75,10,88%
http://data.flightstream.io/sg/0004/DSC01080.JPG,http://data.flightstream.io/sg/0004/tn/DSC01080.JPG,1.342123,103.731598,89.58,2.52,-0.63,-137.64,10,87%
http://data.flightstream.io/sg/0004/DSC01081.JPG,http://data.flightstream.io/sg/0004/tn/DSC01081.JPG,1.342,103.731508,88.63,1.9,-1.75,-135.82,9,87%
http://data.flightstream.io/sg/0004/DSC01082.JPG,http://data.flightstream.io/sg/0004/tn/DSC01082.JPG,1.341887,103.731411,88.56,0.58,-2.05,-137.81,10,87%
http://data.flightstream.io/sg/0004/DSC01083.JPG,http://data.flightstream.io/sg/0004/tn/DSC01083.JPG,1.341766,103.731322,87.86,1.64,-3.25,-137.07,10,87%
http://data.flightstream.io/sg/0004/DSC01084.JPG,http://data.flightstream.io/sg/0004/tn/DSC01084.JPG,1.341649,103.731217,87.86,1.16,-0.36,-137.61,10,86%
http://data.flightstream.io/sg/0004/DSC01085.JPG,http://data.flightstream.io/sg/0004/tn/DSC01085.JPG,1.341529,103.731136,87.19,1.32,-3.6,-137.31,10,86%
http://data.flightstream.io/sg/0004/DSC01086.JPG,http://data.flightstream.io/sg/0004/tn/DSC01086.JPG,1.341405,103.731038,87.25,1.33,-0.25,-137.05,10,86%
http://data.flightstream.io/sg/0004/DSC01087.JPG,http://data.flightstream.io/sg/0004/tn/DSC01087.JPG,1.341282,103.730936,86.69,-0.74,-0.98,-136.44,9,85%
http://data.flightstream.io/sg/0004/DSC01088.JPG,http://data.flightstream.io/sg/0004/tn/DSC01088.JPG,1.341165,103.730851,86.47,1,-1.52,-137.23,10,85%
http://data.flightstream.io/sg/0004/DSC01089.JPG,http://data.flightstream.io/sg/0004/tn/DSC01089.JPG,1.341043,103.730764,86.62,1.07,-0.75,-137.45,10,85%
http://data.flightstream.io/sg/0004/DSC01090.JPG,http://data.flightstream.io/sg/0004/tn/DSC01090.JPG,1.34102,103.730727,86,8.4,2.41,-136.59,10,84%
http://data.flightstream.io/sg/0004/DSC01091.JPG,http://data.flightstream.io/sg/0004/tn/DSC01091.JPG,1.341159,103.730675,85.79,1.08,1.42,-135.46,9,84%
http://data.flightstream.io/sg/0004/DSC01092.JPG,http://data.flightstream.io/sg/0004/tn/DSC01092.JPG,1.341233,103.730647,86.62,1.2,6.29,-137.27,10,84%
http://data.flightstream.io/sg/0004/DSC01093.JPG,http://data.flightstream.io/sg/0004/tn/DSC01093.JPG,1.341335,103.730732,87.08,-0.19,-0.68,-138.72,10,84%
http://data.flightstream.io/sg/0004/DSC01094.JPG,http://data.flightstream.io/sg/0004/tn/DSC01094.JPG,1.341453,103.730817,87.29,0.06,4.6,-140.34,10,83%
http://data.flightstream.io/sg/0004/DSC01095.JPG,http://data.flightstream.io/sg/0004/tn/DSC01095.JPG,1.341564,103.730905,87.48,0.76,4.6,-137.2,10,83%
http://data.flightstream.io/sg/0004/DSC01096.JPG,http://data.flightstream.io/sg/0004/tn/DSC01096.JPG,1.341683,103.730998,87.54,0.26,4.49,-138.18,10,83%
http://data.flightstream.io/sg/0004/DSC01097.JPG,http://data.flightstream.io/sg/0004/tn/DSC01097.JPG,1.341807,103.731084,87.73,-0.25,4.55,-137.96,9,82%
http://data.flightstream.io/sg/0004/DSC01098.JPG,http://data.flightstream.io/sg/0004/tn/DSC01098.JPG,1.341926,103.731176,88.16,0.27,4.64,-138.06,10,82%
http://data.flightstream.io/sg/0004/DSC01099.JPG,http://data.flightstream.io/sg/0004/tn/DSC01099.JPG,1.342047,103.731267,88.3,-0.06,4.89,-137.83,10,82%
http://data.flightstream.io/sg/0004/DSC01100.JPG,http://data.flightstream.io/sg/0004/tn/DSC01100.JPG,1.342166,103.731357,88.83,0.27,5.2,-139.01,10,81%
http://data.flightstream.io/sg/0004/DSC01101.JPG,http://data.flightstream.io/sg/0004/tn/DSC01101.JPG,1.342288,103.731445,89.42,-0.06,4.66,-139.03,10,81%
http://data.flightstream.io/sg/0004/DSC01102.JPG,http://data.flightstream.io/sg/0004/tn/DSC01102.JPG,1.342408,103.731537,89.64,-0.32,4.85,-138.22,10,81%
http://data.flightstream.io/sg/0004/DSC01103.JPG,http://data.flightstream.io/sg/0004/tn/DSC01103.JPG,1.342524,103.731627,89.98,0.33,4.49,-137.78,9,81%
http://data.flightstream.io/sg/0004/DSC01104.JPG,http://data.flightstream.io/sg/0004/tn/DSC01104.JPG,1.342646,103.731729,90.08,0.47,4.36,-138.2,10,80%
http://data.flightstream.io/sg/0004/DSC01105.JPG,http://data.flightstream.io/sg/0004/tn/DSC01105.JPG,1.342769,103.731817,90.53,-0.14,3.85,-137.94,10,80%
http://data.flightstream.io/sg/0004/DSC01106.JPG,http://data.flightstream.io/sg/0004/tn/DSC01106.JPG,1.342838,103.731866,90.59,4.04,4.02,-136.41,10,80%
http://data.flightstream.io/sg/0004/DSC01107.JPG,http://data.flightstream.io/sg/0004/tn/DSC01107.JPG,1.342927,103.731757,90.75,-1.87,1.53,-134.39,10,79%
http://data.flightstream.io/sg/0004/DSC01108.JPG,http://data.flightstream.io/sg/0004/tn/DSC01108.JPG,1.34296,103.73171,91.22,1.85,-1.04,-138.11,10,79%
http://data.flightstream.io/sg/0004/DSC01109.JPG,http://data.flightstream.io/sg/0004/tn/DSC01109.JPG,1.342852,103.731643,91.44,0.38,1.09,-137.16,10,79%
